INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCE,LMP_ENE_PRC,EMBRCDR_2_N104,ALL,1,6.25156,8
2024-04-19T01:00:00-00:00,2024-04-19T02:00:00-00:00,2024-04-18,19,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCL,LMP_LOSS_PRC,EMBRCDR_2_N104,ALL,1,2.48806,9
2024-04-19T00:00:00-00:00,2024-04-19T01:00:00-00:00,2024-04-18,18,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCL,LMP_LOSS_PRC,EMBRCDR_2_N104,ALL,1,1.71768,9
2024-04-19T05:00:00-00:00,2024-04-19T06:00:00-00:00,2024-04-18,23,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCL,LMP_LOSS_PRC,EMBRCDR_2_N104,ALL,1,1.47116,9
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCL,LMP_LOSS_PRC,EMBRCDR_2_N104,ALL,1,0.2982,9
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCL,LMP_LOSS_PRC,EMBRCDR_2_N104,ALL,1,2.11612,9
2024-04-19T04:00:00-00:00,2024-04-19T05:00:00-00:00,2024-04-18,22,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCL,LMP_LOSS_PRC,EMBRCDR_2_N104,ALL,1,1.42173,9
2024-04-19T06:00:00-00:00,2024-04-19T07:00:00-00:00,2024-04-18,24,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCL,LMP_LOSS_PRC,EMBRCDR_2_N104,ALL,1,1.00882,9
2024-04-19T03:00:00-00:00,2024-04-19T04:00:00-00:00,2024-04-18,21,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCL,LMP_LOSS_PRC,EMBRCDR_2_N104,ALL,1,1.93125,9
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MGHG,LMP_GHG_PRC,EMBRCDR_2_N104,ALL,1,0,10
